NAME,POS,FP_total_pred,MC_mean,MC_std,MC_p10,MC_p50,MC_p90
NIKOLA JOKIC,C,4407.365255847376,4407.13231597562,322.20325653538913,3994.381821492683,4401.970090881703,4825.415727817864
SHAI GILGEOUS-ALEXANDER,G,3894.644623264972,3899.232086246288,495.76629206585926,3269.9044332878284,3894.322459241115,4538.276365339957
GIANNIS ANTETOKOUNMPO,F,3838.35381040359,3835.84980484332,218.33522830161453,3556.960318035887,3837.445733718596,4115.880500126766
JAYSON TATUM,F-G,3336.957317962507,3335.91630574447,209.37250267643878,3067.4903203879257,3334.975146889616,3605.2124941033685
ANTHONY EDWARDS,G,3114.2554154571408,3114.5687470891926,354.97789512168674,2665.8342284246983,3109.0899972685575,3570.530747054927
CADE CUNNINGHAM,G,3111.410385004317,3111.289970447417,412.75554808084,2586.2711975008924,3104.366340654522,3649.402253806017
KARL-ANTHONY TOWNS,C-F,3092.850203576093,3094.626982995044,340.49023474768165,2658.4224218125555,3090.2857900485806,3536.10834059384
LUKA DONCIC,F-G,2963.9559015063996,2965.272391208227,327.2016358304278,2555.6891511170966,2953.1482789247266,3390.040379506752
DOMANTAS SABONIS,F-C,2946.5035165041513,2948.5511069573263,222.23121713573798,2663.880580920782,2946.0604734910003,3234.5705027836393
VICTOR WEMBANYAMA,F-C,2922.3069677923204,2922.0813020674777,275.883432209027,2574.569520019884,2920.653066540333,3277.485741398367
ALPEREN SENGUN,C,2920.166592171411,2931.747261861731,657.0875502113875,2089.9121757724165,2932.3297533356354,3779.4643460778525
TYRESE HALIBURTON,G,2900.207243355593,2901.137328415196,467.42674850773994,2304.549590857882,2898.0954736656104,3503.2656668789696
DEVIN BOOKER,G,2865.2442659133876,2866.175424170448,235.7133930223367,2567.6710604131185,2863.9589048910166,3171.4837151905163
TRAE YOUNG,G,2849.3252307463326,2849.4661295868195,183.0641853533706,2613.006245547794,2849.416290008199,3083.467574676458
ANTHONY DAVIS,F-C,2825.403732889471,2824.3515825193235,320.5554743427782,2419.6062671573227,2819.1210466959064,3231.931473561402
TYLER HERRO,G,2808.1884235725634,2811.974188935702,326.4721056669424,2392.5726037625004,2809.210366521983,3231.4279639814786
IVICA ZUBAC,C,2782.0954309077288,2782.109381475096,507.77910354061584,2131.360979400461,2777.790572091688,3443.334593119801
JALEN BRUNSON,G,2679.523809387046,2680.9083530013854,619.5510193856643,1900.5036633402526,2679.0222615681755,3481.427098601819
BAM ADEBAYO,C-F,2666.063168631161,2666.6604623257817,123.13663151918941,2508.310808570637,2667.261753186743,2824.1436393754225
