NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG
AARON GORDON,2020,25.67,50,Den,F,27.65,12.4,5.65,3.2,0.66,0.68,1.92,26.08
AARON GORDON,2021,26.57,75,Den,F,31.7,15.0,5.8,2.5,0.59,0.59,1.77,27.48
AARON GORDON,2022,27.6,68,Den,F,30.3,16.3,6.6,3.0,0.8,0.8,1.4,32.12
AARON GORDON,2023,28.6,73,Den,F,31.5,13.9,6.4,3.5,0.8,0.6,1.4,29.629999999999995
AARON GORDON,2024,29.6,51,Den,F,28.4,14.7,4.8,3.2,0.5,0.3,1.4,26.26
AARON HENRY,2021,22.61,6,Phi,F,2.7999999999999994,0.3,0.20000000000000004,0.0,0.0,0.33,0.33,1.2
AARON HOLIDAY,2020,24.63,66,Ind,G,17.8,7.2,1.3,1.9,0.7,0.2,1.0,13.309999999999999
AARON HOLIDAY,2021,25.53,63,Was,G,16.234920634920634,6.344444444444444,1.9142857142857144,2.4238095238095236,0.6703174603174603,0.14317460317460318,1.0477777777777777,13.669999999999998
AARON HOLIDAY,2022,26.5,63,Atl,G,13.4,3.9,1.2,1.4,0.6,0.2,0.6,8.34
AARON HOLIDAY,2023,27.5,78,Hou,G,16.3,6.6,1.6,1.8,0.5,0.1,0.7,12.32
AARON HOLIDAY,2024,28.5,62,Hou,G,12.8,5.5,1.3,1.3,0.3,0.2,0.6,9.910000000000002
AARON NESMITH,2020,21.58,46,Bos,G-F,14.5,4.7,2.8,0.5,0.33,0.2,0.5,9.9
AARON NESMITH,2021,22.490000000000002,52,Bos,G-F,11.0,3.8,1.6999999999999997,0.4,0.38,0.08,0.6,7.220000000000001
AARON NESMITH,2022,23.5,73,Ind,G-F,24.9,10.1,3.8,1.3,0.8,0.5,1.0,21.009999999999998
AARON NESMITH,2023,24.5,72,Ind,G-F,27.7,12.2,3.7999999999999994,1.5,0.8999999999999999,0.7,0.8999999999999999,22.909999999999997
AARON NESMITH,2024,25.5,45,Ind,G-F,25.0,12.0,4.0,1.2,0.8,0.4,0.8,21.4
AARON WIGGINS,2021,23.27,50,Okc,G-F,24.2,8.3,3.6,1.4,0.6,0.2,1.08,16.04
AARON WIGGINS,2022,24.3,70,Okc,G-F,18.5,6.8,3.0,1.1,0.6,0.2,0.8,12.749999999999998
AARON WIGGINS,2023,25.3,78,Okc,G,15.7,6.9,2.4,1.1,0.7,0.2,0.7,13.430000000000003
AARON WIGGINS,2024,26.3,76,Okc,G,22.9,12.0,3.9,1.8,0.8,0.2,0.9,21.480000000000004
ABDEL NADER,2020,27.64,24,Pho,F,14.800000000000002,6.7,2.6,0.8000000000000002,0.42,0.38000000000000006,0.79,12.63
ABDEL NADER,2021,28.54,14,Pho,F,10.4,2.4,1.9,0.5,0.57,0.29,0.79,7.22
ADAM FLAGLER,2023,24.4,2,Okc,G,7.0,1.5,0.0,2.0,0.0,0.0,0.0,4.5
ADAM FLAGLER,2024,25.4,37,Okc,G,5.5,1.8000000000000003,0.7,0.3,0.2,0.1,0.1,3.89
ADAM MOKOKA,2020,22.830000000000002,14,Chi,G,4.0,1.1,0.4,0.4,0.14,0.07,0.36,2.45
ADAMA SANOGO,2023,22.2,9,Chi,F,7.300000000000001,4.0,4.0,0.0,0.1,0.0,0.6,8.500000000000002
ADAMA SANOGO,2024,23.2,4,Chi,F,5.4,2.0,1.5,0.3,0.0,0.0,0.3,3.95
ADE MURKEY,2021,20.0,1,Sac,G,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADEM BONA,2024,22.0,58,Phi,F,15.6,5.8,4.2,0.5,0.4,1.2,1.1,15.290000000000001
ADMIRAL SCHOFIELD,2021,25.03,38,Orl,F,12.3,3.8000000000000003,2.3,0.7,0.10999999999999999,0.13,0.55,7.779999999999999
ADMIRAL SCHOFIELD,2022,26.0,37,Orl,F,12.2,4.2,1.7,0.8,0.2,0.1,0.4,7.94
ADMIRAL SCHOFIELD,2023,27.0,23,Orl,F,3.7,1.1,0.7,0.3,0.0,0.0,0.2,2.1899999999999995
AHMAD CAVER,2021,20.0,1,Ind,G,0.9,2.0,0.0,0.0,0.0,0.0,0.0,2.0
AJ GREEN,2022,23.5,35,Mil,G,9.9,4.4,1.3,0.6,0.1,0.0,0.3,9.860000000000001
AJ GREEN,2023,24.5,56,Mil,G,11.0,4.5,1.1,0.5,0.2,0.1,0.2,7.2700000000000005
AJ GREEN,2024,25.5,73,Mil,G,22.7,7.4,2.4,1.5,0.5,0.1,0.5,13.830000000000002
AJ GRIFFIN,2022,19.6,72,Atl,F,19.5,8.9,2.1,1.0,0.6,0.2,0.6,15.620000000000001
AJ GRIFFIN,2023,20.6,20,Atl,F,8.5,2.4,0.9,0.3,0.1,0.1,0.4,4.129999999999999
AJ JOHNSON,2024,20.4,29,Was,G,22.00344827586207,7.603448275862069,2.0620689655172413,2.5931034482758624,0.40344827586206894,0.07586206896551725,1.206896551724138,14.198620689655176
AJ LAWSON,2022,22.699999999999996,14,Dal,G,7.6499999999999995,4.042857142857143,1.4642857142857142,0.18571428571428572,0.18571428571428572,0.0,0.18571428571428572,6.492857142857143
AJ LAWSON,2023,23.7,42,Dal,G,7.4,3.2,1.2,0.5,0.2,0.1,0.3,5.99
AJ LAWSON,2024,24.699999999999996,26,Tor,G,18.7,9.1,3.3,1.2,0.5,0.2,0.6,16.36
AJAY MITCHELL,2024,22.8,36,Okc,G,16.6,6.6,1.8999999999999997,1.7999999999999998,0.7,0.1,0.8,13.179999999999998
AL HORFORD,2020,34.95,28,Okc,C-F,27.9,14.2,6.7,3.4,0.89,0.93,1.04,31.759999999999998
AL HORFORD,2021,35.86,69,Bos,C-F,29.1,10.2,7.700000000000001,3.4,0.71,1.33,0.94,29.72
AL HORFORD,2022,36.9,63,Bos,C-F,30.5,9.8,6.2,3.0,0.5,1.0,0.6,25.34
AL HORFORD,2023,37.9,65,Bos,C-F,26.8,8.6,6.4,2.6,0.6,1.0,0.7,24.28
AL HORFORD,2024,38.9,60,Bos,C-F,27.6,9.0,6.2,2.1,0.6,0.9,0.8,23.289999999999996
AL-FAROUQ AMINU,2020,30.65,23,Orl,F,18.886956521739133,4.456521739130435,4.82608695652174,1.3347826086956522,0.8252173913043478,0.3917391304347826,1.2169565217391303,14.683913043478261
ALEC BURKS,2020,29.83,49,Nyk,G,25.6,12.7,4.6,2.2,0.63,0.29,1.0,23.28
ALEC BURKS,2021,30.73,81,Nyk,G,28.599999999999998,11.7,4.9,3.0,1.05,0.32,1.12,25.069999999999997
ALEC BURKS,2022,31.7,51,Det,G,22.0,12.8,3.1,2.2,0.7,0.2,1.1,23.22
ALEC BURKS,2023,32.7,66,Det,G,18.321212121212117,10.474242424242423,2.2863636363636366,1.356060606060606,0.4303030303030303,0.19545454545454546,0.7,16.429242424242425
ALEC BURKS,2024,33.7,49,Mia,G,17.6,7.3,2.5,1.1,0.6,0.1,0.6,13.450000000000001
ALEEM FORD,2021,20.0,5,Orl,F,14.7,2.8,3.0,0.4,0.2,0.0,0.8,6.8
ALEKSEJ POKUSEVSKI,2020,19.39,45,Okc,C,24.2,8.2,4.7,2.2,0.44,0.93,2.2,19.05
ALEKSEJ POKUSEVSKI,2021,20.29,61,Okc,C,20.2,7.6,5.2,2.1,0.64,0.61,1.54,19.200000000000003
ALEKSEJ POKUSEVSKI,2022,21.3,34,Okc,C,20.6,8.1,4.7,1.9,0.6,1.3,1.3,22.789999999999996
ALEKSEJ POKUSEVSKI,2023,22.300000000000004,28,Cha,F,14.52142857142857,5.185714285714286,3.185714285714286,1.2714285714285711,0.55,0.4857142857142857,0.6857142857142857,13.337142857142862
ALEN SMAILAGIC,2020,20.74,15,Gol,F,5.6,1.9,1.1,0.3,0.2,0.33,0.33,4.929999999999999
ALEX CARUSO,2020,27.21,58,Lal,G,21.0,6.4,2.9,2.8,1.1,0.26,1.31,16.85
ALEX CARUSO,2021,28.12,41,Chi,G,28.0,7.400000000000001,3.5999999999999996,4.0,1.7299999999999998,0.37,1.39,22.629999999999995
ALEX CARUSO,2022,29.1,67,Chi,G,23.5,5.6,2.9,2.9,1.5,0.7,1.1,15.629999999999997
ALEX CARUSO,2023,30.099999999999998,71,Chi,G,28.7,10.1,3.8000000000000003,3.5,1.7,1.0,1.4,26.61
ALEX CARUSO,2024,31.1,54,Okc,G,19.3,7.1,2.9,2.5,1.6,0.6,0.7,20.230000000000004
ALEX DUCAS,2024,24.3,21,Okc,G,6.0,1.6999999999999997,1.2,0.2,0.2,0.0,0.2,3.8399999999999985
ALEX FUDGE,2023,20.9,6,Lal,F,6.7,2.5,0.8333333333333334,0.0,0.5,0.0,0.3666666666666667,4.633333333333334
ALEX LEN,2020,27.92,64,Was,C,15.253125,6.575,4.09375,0.75625,0.30921875000000004,1.0025,0.8549999999999999,15.70203125
ALEX LEN,2021,28.82,39,Sac,C,15.9,6.0,4.1,1.2,0.33,0.64,1.1,14.53
ALEX LEN,2022,29.800000000000004,26,Sac,C,6.200000000000001,1.6999999999999997,2.3,0.5,0.2,0.4,0.6,5.8100000000000005
ALEX LEN,2023,30.8,48,Sac,C,9.3,2.5,2.7000000000000006,1.0,0.20000000000000004,0.6999999999999998,0.6,9.34
ALEX LEN,2024,31.8,46,Sac,C,8.28695652173913,1.5739130434782609,2.0826086956521737,0.7999999999999999,0.1782608695652174,0.45652173913043476,0.4304347826086956,6.746956521739131
ALEX REESE,2024,25.899999999999995,15,Phi,F-C,14.406666666666668,5.08,3.1466666666666665,0.28,0.6533333333333332,0.6533333333333332,0.37333333333333335,12.822666666666665
ALEXANDRE SARR,2024,20.0,67,Was,C,27.1,13.0,6.5,2.4,0.7,1.5,1.7,29.3
ALFONZO MCKINNIE,2020,28.66,39,Lal,F,6.6,3.1,1.4,0.2,0.18,0.0,0.13,5.49
ALFONZO MCKINNIE,2021,29.56,17,Chi,F,12.1,3.5,1.9,0.3,0.12,0.18,0.41,6.72
ALIZE JOHNSON,2020,25.07,18,Bro,F,10.5,5.2,5.0,0.8,0.28,0.28,0.5,13.579999999999998
ALIZE JOHNSON,2021,25.97,23,Chi,F,7.247826086956521,1.8217391304347825,2.6956521739130435,0.39999999999999997,0.21913043478260869,0.0,0.5217391304347826,5.792173913043478
ALIZE JOHNSON,2022,27.0,4,San,F,7.4,1.8,2.5,0.3,0.3,0.0,1.0,4.25
ALONDES WILLIAMS,2022,23.8,1,Bro,G,5.3,0.0,1.0,0.0,0.0,0.0,2.0,-0.19999999999999996
ALONDES WILLIAMS,2023,24.8,7,Mia,G,2.2,0.7,0.1,0.0,0.0,0.1,0.3,0.8200000000000001
ALONDES WILLIAMS,2024,25.8,1,Det,G,3.7,5.0,0.0,1.0,0.0,0.0,0.0,6.5
ALPEREN SENGUN,2021,19.71,72,Hou,C,20.7,9.6,5.5,2.6,0.81,0.94,2.01,23.340000000000003
ALPEREN SENGUN,2022,20.7,75,Hou,C,28.9,14.8,9.0,3.9,0.9,0.9,2.6,34.25000000000001
ALPEREN SENGUN,2023,21.7,63,Hou,C,32.5,21.1,9.4,5.0,1.2,0.7,2.6,42.980000000000004
ALPEREN SENGUN,2024,22.7,76,Hou,C,31.5,19.1,10.4,4.9,1.1,0.8,2.6,42.029999999999994
AMARI BAILEY,2023,20.2,10,Cha,G,6.5,2.3,0.9,0.7,0.3,0.0,0.4,4.93
AMEN THOMPSON,2023,21.2,62,Hou,G-F,22.4,9.5,6.6,2.6,1.3,0.6,1.5,25.52
AMEN THOMPSON,2024,22.2,69,Hou,G-F,32.3,14.1,8.2,3.8,1.4,1.3,2.0,35.739999999999995
AMIDA BRIMAH,2020,27.26,5,Ind,C,5.9,2.6,1.6,0.2,0.0,1.0,0.8,7.019999999999999
AMIR COFFEY,2020,23.92,44,Lac,G-F,9.0,3.2,1.0,0.5,0.23,0.0,0.34,5.500000000000001
AMIR COFFEY,2021,24.82,69,Lac,G-F,22.7,9.0,2.9,1.8,0.55,0.22,0.65,16.84
AMIR COFFEY,2022,25.8,50,Lac,G-F,12.5,3.4,1.1,1.1,0.1,0.1,0.4,6.5699999999999985
AMIR COFFEY,2023,26.8,70,Lac,G-F,20.9,6.6,2.1,1.1,0.6,0.2,0.5,12.67
AMIR COFFEY,2024,27.8,72,Lac,G-F,24.3,9.7,2.2,1.1,0.6,0.1,0.6,15.49
ANDERSON VAREJAO,2020,38.63,5,Cle,F,7.2,2.6,4.0,0.6,0.0,0.4,0.2,9.3
ANDRE DRUMMOND,2020,27.770000000000003,46,Cle,C,27.028260869565223,14.943478260869565,11.993478260869566,2.0521739130434784,1.3717391304347826,1.0641304347826086,2.6967391304347825,37.02478260869565
ANDRE DRUMMOND,2021,28.670000000000005,73,Phi,C,19.682191780821917,7.973972602739726,9.293150684931508,1.8027397260273972,1.067945205479452,0.9463013698630138,1.5738356164383562,26.298767123287675
ANDRE DRUMMOND,2022,29.7,67,Chi,C,12.7,6.0,6.6,0.5,0.7,0.4,1.1,17.469999999999995
ANDRE DRUMMOND,2023,30.699999999999996,79,Chi,C,17.1,8.4,9.0,0.5,0.9000000000000001,0.6,1.0,23.45
ANDRE DRUMMOND,2024,31.7,40,Phi,C,18.8,7.3,7.8,0.9,1.0,0.5,1.4,21.110000000000003
ANDRE IGUODALA,2020,37.3,63,Mia,G-F,21.3,4.4,3.5,2.3,0.92,0.52,1.06,15.31
ANDRE IGUODALA,2021,38.2,31,Gol,G-F,19.4,4.0,3.2,3.7,0.87,0.71,0.9,17.23
ANDRE IGUODALA,2022,39.2,8,Gol,G-F,14.1,2.1,2.1,2.4,0.5,0.4,1.1,9.22
ANDRE JACKSON JR,2023,22.4,57,Mil,G,10.0,2.2,2.0,0.9,0.3,0.1,0.5,6.6499999999999995
ANDRE JACKSON JR,2024,23.4,67,Mil,G,14.6,3.4,2.7,1.2,0.5,0.2,0.9,9.64
ANDRE ROBERSON,2020,29.45,5,Bro,G-F,12.6,1.2,3.0,0.8,0.6,0.2,0.4,8.0
