NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG,FPpG_next,GP_next,FP_total,FP_total_next
AARON GORDON,2020,25.67,50,Den,F,27.65,12.4,5.65,3.2,0.66,0.68,1.92,26.08,27.48,75.0,1304.0,2061.0
AARON GORDON,2021,26.57,75,Den,F,31.7,15.0,5.8,2.5,0.59,0.59,1.77,27.48,32.12,68.0,2061.0,2184.16
AARON GORDON,2022,27.6,68,Den,F,30.3,16.3,6.6,3.0,0.8,0.8,1.4,32.12,29.629999999999995,73.0,2184.16,2162.99
AARON GORDON,2023,28.6,73,Den,F,31.5,13.9,6.4,3.5,0.8,0.6,1.4,29.629999999999995,26.26,51.0,2162.99,1339.26
AARON HOLIDAY,2020,24.63,66,Ind,G,17.8,7.2,1.3,1.9,0.7,0.2,1.0,13.309999999999999,13.669999999999998,63.0,878.4599999999999,861.2099999999999
AARON HOLIDAY,2021,25.53,63,Was,G,16.234920634920634,6.344444444444444,1.9142857142857144,2.4238095238095236,0.6703174603174603,0.14317460317460318,1.0477777777777777,13.669999999999998,8.34,63.0,861.2099999999999,525.42
AARON HOLIDAY,2022,26.5,63,Atl,G,13.4,3.9,1.2,1.4,0.6,0.2,0.6,8.34,12.32,78.0,525.42,960.96
AARON HOLIDAY,2023,27.5,78,Hou,G,16.3,6.6,1.6,1.8,0.5,0.1,0.7,12.32,9.910000000000002,62.0,960.96,614.4200000000001
AARON NESMITH,2020,21.58,46,Bos,G-F,14.5,4.7,2.8,0.5,0.33,0.2,0.5,9.9,7.220000000000001,52.0,455.40000000000003,375.44000000000005
AARON NESMITH,2021,22.490000000000002,52,Bos,G-F,11.0,3.8,1.6999999999999997,0.4,0.38,0.08,0.6,7.220000000000001,21.009999999999998,73.0,375.44000000000005,1533.7299999999998
AARON NESMITH,2022,23.5,73,Ind,G-F,24.9,10.1,3.8,1.3,0.8,0.5,1.0,21.009999999999998,22.909999999999997,72.0,1533.7299999999998,1649.5199999999998
AARON NESMITH,2023,24.5,72,Ind,G-F,27.7,12.2,3.7999999999999994,1.5,0.8999999999999999,0.7,0.8999999999999999,22.909999999999997,21.4,45.0,1649.5199999999998,962.9999999999999
AARON WIGGINS,2021,23.27,50,Okc,G-F,24.2,8.3,3.6,1.4,0.6,0.2,1.08,16.04,12.749999999999998,70.0,802.0,892.4999999999999
AARON WIGGINS,2022,24.3,70,Okc,G-F,18.5,6.8,3.0,1.1,0.6,0.2,0.8,12.749999999999998,13.430000000000003,78.0,892.4999999999999,1047.5400000000002
AARON WIGGINS,2023,25.3,78,Okc,G,15.7,6.9,2.4,1.1,0.7,0.2,0.7,13.430000000000003,21.480000000000004,76.0,1047.5400000000002,1632.4800000000002
ABDEL NADER,2020,27.64,24,Pho,F,14.800000000000002,6.7,2.6,0.8000000000000002,0.42,0.38000000000000006,0.79,12.63,7.22,14.0,303.12,101.08
ADAM FLAGLER,2023,24.4,2,Okc,G,7.0,1.5,0.0,2.0,0.0,0.0,0.0,4.5,3.89,37.0,9.0,143.93
ADAMA SANOGO,2023,22.2,9,Chi,F,7.300000000000001,4.0,4.0,0.0,0.1,0.0,0.6,8.500000000000002,3.95,4.0,76.50000000000001,15.8
ADMIRAL SCHOFIELD,2021,25.03,38,Orl,F,12.3,3.8000000000000003,2.3,0.7,0.10999999999999999,0.13,0.55,7.779999999999999,7.94,37.0,295.64,293.78000000000003
ADMIRAL SCHOFIELD,2022,26.0,37,Orl,F,12.2,4.2,1.7,0.8,0.2,0.1,0.4,7.94,2.1899999999999995,23.0,293.78000000000003,50.36999999999999
AJ GREEN,2022,23.5,35,Mil,G,9.9,4.4,1.3,0.6,0.1,0.0,0.3,9.860000000000001,7.2700000000000005,56.0,345.1,407.12
AJ GREEN,2023,24.5,56,Mil,G,11.0,4.5,1.1,0.5,0.2,0.1,0.2,7.2700000000000005,13.830000000000002,73.0,407.12,1009.5900000000001
AJ GRIFFIN,2022,19.6,72,Atl,F,19.5,8.9,2.1,1.0,0.6,0.2,0.6,15.620000000000001,4.129999999999999,20.0,1124.64,82.59999999999998
AJ LAWSON,2022,22.699999999999996,14,Dal,G,7.6499999999999995,4.042857142857143,1.4642857142857142,0.18571428571428572,0.18571428571428572,0.0,0.18571428571428572,6.492857142857143,5.99,42.0,90.9,251.58
AJ LAWSON,2023,23.7,42,Dal,G,7.4,3.2,1.2,0.5,0.2,0.1,0.3,5.99,16.36,26.0,251.58,425.36
AL HORFORD,2020,34.95,28,Okc,C-F,27.9,14.2,6.7,3.4,0.89,0.93,1.04,31.759999999999998,29.72,69.0,889.28,2050.68
AL HORFORD,2021,35.86,69,Bos,C-F,29.1,10.2,7.700000000000001,3.4,0.71,1.33,0.94,29.72,25.34,63.0,2050.68,1596.42
AL HORFORD,2022,36.9,63,Bos,C-F,30.5,9.8,6.2,3.0,0.5,1.0,0.6,25.34,24.28,65.0,1596.42,1578.2
AL HORFORD,2023,37.9,65,Bos,C-F,26.8,8.6,6.4,2.6,0.6,1.0,0.7,24.28,23.289999999999996,60.0,1578.2,1397.3999999999996
ALEC BURKS,2020,29.83,49,Nyk,G,25.6,12.7,4.6,2.2,0.63,0.29,1.0,23.28,25.069999999999997,81.0,1140.72,2030.6699999999998
ALEC BURKS,2021,30.73,81,Nyk,G,28.599999999999998,11.7,4.9,3.0,1.05,0.32,1.12,25.069999999999997,23.22,51.0,2030.6699999999998,1184.22
ALEC BURKS,2022,31.7,51,Det,G,22.0,12.8,3.1,2.2,0.7,0.2,1.1,23.22,16.429242424242425,66.0,1184.22,1084.33
ALEC BURKS,2023,32.7,66,Det,G,18.321212121212117,10.474242424242423,2.2863636363636366,1.356060606060606,0.4303030303030303,0.19545454545454546,0.7,16.429242424242425,13.450000000000001,49.0,1084.33,659.0500000000001
ALEKSEJ POKUSEVSKI,2020,19.39,45,Okc,C,24.2,8.2,4.7,2.2,0.44,0.93,2.2,19.05,19.200000000000003,61.0,857.25,1171.2000000000003
ALEKSEJ POKUSEVSKI,2021,20.29,61,Okc,C,20.2,7.6,5.2,2.1,0.64,0.61,1.54,19.200000000000003,22.789999999999996,34.0,1171.2000000000003,774.8599999999999
ALEKSEJ POKUSEVSKI,2022,21.3,34,Okc,C,20.6,8.1,4.7,1.9,0.6,1.3,1.3,22.789999999999996,13.337142857142862,28.0,774.8599999999999,373.4400000000001
ALEX CARUSO,2020,27.21,58,Lal,G,21.0,6.4,2.9,2.8,1.1,0.26,1.31,16.85,22.629999999999995,41.0,977.3000000000001,927.8299999999998
ALEX CARUSO,2021,28.12,41,Chi,G,28.0,7.400000000000001,3.5999999999999996,4.0,1.7299999999999998,0.37,1.39,22.629999999999995,15.629999999999997,67.0,927.8299999999998,1047.2099999999998
ALEX CARUSO,2022,29.1,67,Chi,G,23.5,5.6,2.9,2.9,1.5,0.7,1.1,15.629999999999997,26.61,71.0,1047.2099999999998,1889.31
ALEX CARUSO,2023,30.099999999999998,71,Chi,G,28.7,10.1,3.8000000000000003,3.5,1.7,1.0,1.4,26.61,20.230000000000004,54.0,1889.31,1092.4200000000003
ALEX LEN,2020,27.92,64,Was,C,15.253125,6.575,4.09375,0.75625,0.30921875000000004,1.0025,0.8549999999999999,15.70203125,14.53,39.0,1004.93,566.67
ALEX LEN,2021,28.82,39,Sac,C,15.9,6.0,4.1,1.2,0.33,0.64,1.1,14.53,5.8100000000000005,26.0,566.67,151.06
ALEX LEN,2022,29.800000000000004,26,Sac,C,6.200000000000001,1.6999999999999997,2.3,0.5,0.2,0.4,0.6,5.8100000000000005,9.34,48.0,151.06,448.32
ALEX LEN,2023,30.8,48,Sac,C,9.3,2.5,2.7000000000000006,1.0,0.20000000000000004,0.6999999999999998,0.6,9.34,6.746956521739131,46.0,448.32,310.36
ALFONZO MCKINNIE,2020,28.66,39,Lal,F,6.6,3.1,1.4,0.2,0.18,0.0,0.13,5.49,6.72,17.0,214.11,114.24
ALIZE JOHNSON,2020,25.07,18,Bro,F,10.5,5.2,5.0,0.8,0.28,0.28,0.5,13.579999999999998,5.792173913043478,23.0,244.43999999999997,133.22
ALIZE JOHNSON,2021,25.97,23,Chi,F,7.247826086956521,1.8217391304347825,2.6956521739130435,0.39999999999999997,0.21913043478260869,0.0,0.5217391304347826,5.792173913043478,4.25,4.0,133.22,17.0
ALONDES WILLIAMS,2022,23.8,1,Bro,G,5.3,0.0,1.0,0.0,0.0,0.0,2.0,-0.19999999999999996,0.8200000000000001,7.0,-0.19999999999999996,5.74
ALONDES WILLIAMS,2023,24.8,7,Mia,G,2.2,0.7,0.1,0.0,0.0,0.1,0.3,0.8200000000000001,6.5,1.0,5.74,6.5
ALPEREN SENGUN,2021,19.71,72,Hou,C,20.7,9.6,5.5,2.6,0.81,0.94,2.01,23.340000000000003,34.25000000000001,75.0,1680.4800000000002,2568.7500000000005
